NAME,NTEE_CD,Category,Location,lat_lon
NORTH COUNTRY HOME HEALTH & HOSPICE AGENCY INC,F30,F,"536 COTTAGE ST, LITTLETON, NH, 03561-4120","(-71.76901716516957, 44.291323183171585)"
NORTHERN HUMAN SERVICES,P800,P,"87 WASHINGTON ST, CONWAY, NH, 03818-6044","(-71.11826428571429, 43.980909000000004)"
PINE HAVEN BOYS CENTER,B28Z,B,"133 RIVER RD, ALLENSTOWN, NH, 03275-2362","(-71.4188163, 43.1349237)"
CHILDRENS CENTER OF THE UPPER VALLEY INC,P33Z,P,"178 MECHANIC ST, LEBANON, NH, 03766-1511","(-72.26833912536328, 43.63877065)"
SECOND START,P200,P,"17 KNIGHT ST, CONCORD, NH, 03301-3212","(-71.57364801317047, 43.24378065)"
ANDYS SUMMER PLAYHOUSE INC,A250,A,"ISAAC FRYE HWY, WILTON, NH, 03086-0000","(-71.776993, 42.834605)"
RAYMOND BAPTIST CHURCH,X21,X,"145 NH-27, RAYMOND, NH, 03077-0000","(-71.19069197751938, 43.04022415)"
NEW HAMPSHIRE RECREATION AND PARKS ASSOCIATION,N03,N,"172 PEMBROKE ROAD, CONCORD, NH, 03301-5791","(-71.48687344080855, 43.21425036003061)"
MAGDALEN COLLEGE,B42,B,"511 KEARSARGE MTN RD, WARNER, NH, 03278-4012","(-71.833388, 43.316144)"
PRESIDENTIAL RANGE RIDERS,N68,N,"4 BANGOR ST, GORHAM, NH, 03581-1302","(-71.16294485010764, 44.385508520818384)"
WOLFEBORO AREA CHILDRENS CENTER INC,P330,P,"180 S MAIN ST, WOLFEBORO, NH, 03894-4401","(-71.206232, 43.5834495)"
SUGAR & SPICE PRESCHOOL INC,P33Z,P,"8 HIGH ST, WEARE, NH, 03281-4909","(-71.7303470110335, 43.094025256005594)"
MONARCH SCHOOL OF NEW ENGLAND,B28Z,B,"105 EASTERN AVE, ROCHESTER, NH, 03867-2007","(-70.964847, 43.316787)"
CATHOLIC MEDICAL CENTER,E220,E,"100 MCGREGOR ST, MANCHESTER, NH, 03102-3770","(-71.47387789640587, 42.9909336)"
NEW HAMPSHIRE ANTIQUE DEALERS ASSOCIATION,S41,S,"17 COURT ST, EXETER, NH, 03833-2716","(-70.9470744421613, 42.979360650000004)"
WHITE BIRCH COMMUNITY CENTER,B200,B,"51 HALL AVE, HENNIKER, NH, 03242-0000","(-71.8275113, 43.1862733)"
SALEMHAVEN INC,E91Z,E,"23 GEREMONTY DR, SALEM, NH, 03079-3314","(-71.2096374957535, 42.783495363054)"
ROCHESTER CHILD CARE CENTER INC,P33Z,P,"95 CHARLES ST, ROCHESTER, NH, 03867-3414","(-70.97451247625769, 43.29694650500468)"
WEATHERVANE THEATRE PLAYERS INC,A65Z,A,"389 LANCASTER ROAD, WHITEFIELD, NH, 03598-0000","(-71.5977777, 44.398339899999996)"
RINDGE FIREFIGHTERS ASSOCIATION,M24,M,"28 JOWDERS COVE RD, RINDGE, NH, 03461-5145","(-72.021743475, 42.7795384)"
NASHUA CENTER,P99,P,"18 SIMON ST, NASHUA, NH, 03060-3009","(-71.49048155531426, 42.752596499999996)"
LAKES REGION COMMUNITY SERVICES COUNCIL,P820,P,"719 N MAIN ST, LACONIA, NH, 03246-2741","(-71.471463, 43.530137)"
MALLEY FARM BOYS HOME INC,P73Z,P,"234 GREEN ST, SOMERSWORTH, NH, 03878-2108","(-70.86252620076657, 43.244947612130154)"
MONADNOCK WALDORF SCHOOL,B24Z,B,"98 S LINCOLN ST, KEENE, NH, 03431-3831","(-72.26645144744354, 42.93360345)"
BRIDGES DOMESTIC & SEXUAL VIOLENCE SUPPORT SERVICES INC,F42Z,F,"28 CONCORD ST, NASHUA, NH, 03064-2340","(-71.46715178598208, 42.76846205)"
BEAVER MEADOW SCHOOL PARENT TEACHER ASSOC,B94,B,"40 SEWALLS FALLS RD, CONCORD, NH, 03301-4649","(-71.56963914804751, 43.252310449999996)"
BOW EDUCATION ASSOCIATION SODA,J40,J,"20 BOW CENTER RD, BOW, NH, 03304-4249","(-71.53646484700363, 43.1503688782944)"
NEW HAMPSHIRE 4-H ASSOCIATION,O52,O,"129 MAIN ST, DURHAM, NH, 03824-2500","(-70.96262008256635, 43.14992205027181)"
NEW HAMPSHIRE WILDLIFE FEDERATION,D013,D,"54 PORTSMOUTH ST, CONCORD, NH, 03301-5486","(-71.52765577854966, 43.23459174212481)"
GROWING PLACES,P33Z,P,"56 PINKHAM RD, LEE, NH, 03861-6706","(-71.004360409644, 43.159459262380444)"
NEW HAMPSHIRE BAR FOUNDATION,I800,I,"2 PILLSBURY STREET, CONCORD, NH, 03301-3523","(-71.5328322, 43.1925418)"
WOMANKIND COUNSELING CENTER,P83Z,P,"21 GREEN STREET, CONCORD, NH, 03301-4000","(-71.539542, 43.204748)"
THE UNITED STATES PONY CLUBS INC,N70,N,"132 DARTMOUTH COLLEGE HWY, HAVERHILL, NH, 03765-5102","(-72.048411, 44.063908)"
NH AREA SERVICE OFFICE OF THE NH AREA ASSEMBLY ALCOHOLICS,G82L,G,"1330 HOOKSETT RD, HOOKSETT, NH, 03106-1886","(-71.44197866502158, 43.05806408732505)"
PORTSMOUTH AUXILIARY POLICE ASSOCIATION INC,I60,I,"3 JUNKINS AVE, PORTSMOUTH, NH, 03801-4511","(-70.755733, 43.074607)"
PITTSFIELD MIDDLE HIGH SCHOOL BOOSTER CLUB,B112,B,"23 ONEIDA ST, PITTSFIELD, NH, 03263-3403","(-71.31669643629535, 43.303900799999994)"
MONTESSORI LEARNING CENTER INC,B21Z,B,"389 PEMBROKE ST, PEMBROKE, NH, 03275-3235","(-71.46779258904431, 43.1584544)"
NEW HAMPSHIRE ASSOCIATION OF DOMESTIC INSURANCE COMPANIES,S41,S,"45 SOUTH MAIN STREET, CONCORD, NH, 03301-4898","(-71.5344802, 43.2020935)"
FULLER SCHOOL ASSOCIAITION,B94,B,"422 ELM ST, KEENE, NH, 03431-1818","(-72.28164028571429, 42.94737907142858)"
THE FRIENDS OF THE GILFORD PUBLIC LIBRARY,A76Z,A,"31 POTTER HILL RD, GILFORD, NH, 03249-6803","(-71.404813, 43.548569)"
TEMPLE VOLUNTEER FIRE DEPARTMENT,M24,M,"423 NH-45, TEMPLE, NH, 03084-0000","(-71.85130022315398, 42.8203647871671)"
WOODSIDE SCHOOL INC,B21Z,B,"114 S FRUIT ST, CONCORD, NH, 03301-2411","(-71.54806044823121, 43.19402824977533)"
UPPER VALLEY HOSTEL INC,E86Z,E,"17 SOUTH ST, HANOVER, NH, 03755-2108","(-72.28617819325538, 43.6996807)"
NEW HAMPSHIRE MIME COMPANY,A650,A,"21 WALKER ST, PORTSMOUTH, NH, 03801-3656","(-70.7689072239733, 43.07945158130017)"
KEENE MONTESSORI SCHOOL,B21Z,B,"125 RAILROAD ST, KEENE, NH, 03431-3747","(-72.27396141935485, 42.93238167741936)"
LADIES AID SOCIETY OF HILLSBOROUGH LOWER VILLAGE,A20,A,"220 SAWMILL ROAD, HILLSBOROUGH, NH, 03244-0000","(-71.94478225, 43.11271581818182)"
DOVER ADULT LEARNING CENTER INC,B61Z,B,"61 LOCUST ST, DOVER, NH, 03820-3753","(-70.87698262784853, 43.19326355)"
ROCKINGHAM NUTRITION & MEALS ON WHEELS PROGRAM,K36Z,K,"106 NORTH RD, BRENTWOOD, NH, 03833-6614","(-71.04747738038213, 43.01206315313351)"
SEACOAST BIRTHRIGHT OF PORTSMOUTH INC,R62Z,R,"278 WASHINGTON STREET, DOVER, NH, 03820-3694","(-70.8843043181609, 43.19393325545076)"
REFORMED BIBLE CHURCH,X21,X,"33 CAPRON RD, WESTMORELAND, NH, 03467-4500","(-72.41472464412891, 42.99149746731796)"
THOMAS MORE COLLEGE OF LIBERAL ARTS INCORPORATED,B420,B,"6 MANCHESTER ST, MERRIMACK, NH, 03054-4855","(-71.51274746448244, 43.191083389465284)"
