NAME,NTEE_CD,Category,Location,lat_lon
MOUNT CALVARY INTERNATIONAL OUTREACH,P72,P,"2630 DEPEW DR, W BLOOMFIELD, MI, 48324-1729","(-83.33610075112679, 42.604574411998684)"
DADS ATHLETIC CLUB OF WESTLAND INC,N116,N,"1014 S DOWLING ST, WESTLAND, MI, 48186-4015","(-83.40181300860633, 42.30237154423466)"
SALEM LACROSSE ATHLETIC ASSOCIATION,B94,B,"46181 JOY RD, CANTON, MI, 48187-1316","(-83.49561609824187, 42.34972845)"
WATERFORD BRANCH MI DIVISION WOMANS NATIONAL FARM AND GARDEN ASSOC,C42,C,"6215 BENNETT LAKE RD, FENTON, MI, 48430-9079","(-83.7443477, 42.7823273)"
MICHIGAN STATE UNIVERSITY,O52,O,"1715 LANSING AVENUE, JACKSON, MI, 49202-2192","(-84.41638642857143, 42.26828586734694)"
CLINTON COUNTY POST RETIREMENT HEALTH CARE PLAN AND TR,Y44,Y,"100 EAST STATE STREET, ST JOHNS, MI, 48879-1579","(-84.558319, 43.001335)"
CHILDRENS EDUCATION AND SPECTATOR SPORTS,P30,P,"3118 HARRISON ST, DETROIT, MI, 48216-1207","(-83.07454118181818, 42.33866281818182)"
HOSEA FOUNDATION INC,X20,X,"558 JACOB WAY, ROCHESTER, MI, 48307-2286","(-83.12259080262035, 42.68410917585528)"
FRIENDS OF THE MANISTEE COUNTY LIBRARY,B127,B,"95 MAPLE ST, MANISTEE, MI, 49660-1554","(-86.32369048979591, 44.24608569387755)"
MICHIGAN STATE UNIVERSITY,O52,O,"2300 EAST GRAND RIVER AVENUE, HOWELL, MI, 48843-7574","(-83.917591, 42.602746)"
ABYSSINIA CHURCH OF GOD IN CHRIST INC,X21,X,"4460 CHERRY HILL DR, ORCHARD LAKE, MI, 48323-1611","(-83.37205629736086, 42.57430667164362)"
POWER OF PRAYER MINISTRIES,I21,I,"17140 MARYLAND ST, SOUTHFIELD, MI, 48075-2968","(-83.21395556375839, 42.46821645637584)"
GILEAD GROUP INC,P80,P,"3830 PACKARD RD, ANN ARBOR, MI, 48108-2051","(-83.68487660653594, 42.243697850000004)"
STONEY CREEK HIGH SCHOOL BAND BOOSTERS,T20,T,"575 E TIENKEN RD, ROCHESTER HLS, MI, 48306-4542","(-83.12065319505878, 42.69719937251212)"
REIA OF TOLEDA INC,S41,S,"7845 SECOR RD, LAMBERTVILLE, MI, 48144-9622","(-83.6261012238806, 41.75691510447761)"
OPUS BONO SACERDOTII,P20,P,"5137 DRYDEN RD, DRYDEN, MI, 48428-9713","(-83.1398721180375, 42.94569487780291)"
LIGHT OF THE WORLD CHRISTIAN FAITH CENTER,X21,X,"212 HARRISON ST, PONTIAC, MI, 48341-2438","(-83.29061744444445, 42.62184622222222)"
ISLAMIC CENTER GAZI-HUSREVBEG,X40,X,"37838 HAYES RD, CLINTON TWP, MI, 48038-3177","(-82.97105461038961, 42.57436532467533)"
GREATER WORKS CHRISTIAN MINISTRIES,X21,X,"16589 WARWICK ST, DETROIT, MI, 48219-4015","(-83.22919470270051, 42.41076554763527)"
MICHIGAN STATE UNIVERSITY,O52,O,"20 CARE DRIVE, HILLSDALE, MI, 49242-5052","(-84.64287412499999, 41.9293504375)"
ARYA PRATINIDHI SABHA AMERICA,X70,X,"224 FLORENCE DR, TROY, MI, 48098-2951","(-83.15309, 42.603587000000005)"
MICHIGAN STATE UNIVERSITY,O52,O,"362 GREEN ST, CARO, MI, 48723-1910","(-83.39479643463362, 43.4842735012248)"
OWASIPPE OUTDOOR EDUCATION CENTER INC,O19,O,"510 HOLTON WHITEHALL RD, WHITEHALL, MI, 49461-9500","(-86.25483774670758, 43.40817442588837)"
ABUNDANCE OF LIFE APOSTOLIC FAITH CHURCH,X20,X,"718 E CLARK RD, YPSILANTI, MI, 48198-3667","(-83.60016789820207, 42.26091898148037)"
EXPLOSION DELIVERANCE MINISTRY,X20,X,"5388 LINSDALE ST, DETROIT, MI, 48204-3692","(-83.12929066525138, 42.35951174174151)"
MT TABOR ENTERPRISE COMMUNITY DEVELOPMENT CORPORATION,B90,B,"109 WELCH BLVD, FLINT, MI, 48503-1159","(-83.70381098093115, 43.03108439179902)"
THE KINGS OF KING INCORPORATED,P30,P,"15588 TIMBERS EDGE DR, CLINTON TWP, MI, 48035-1059","(-82.96252035714285, 42.56575385714286)"
