NAME,NTEE_CD,Category,Location,lat_lon
BETSEYS BONNETS,P58,P,"6523 CALIFORNIA AVE SW, SEATTLE, WA, 98136-1833","(-122.387428, 47.5440812)"
INGLEMOOR HIGH SCHOOL INTERNATIONAL BACCALAUREATE BOOSTER CLUB,B11,B,"15500 SIMONDS RD NE, KENMORE, WA, 98028-4430","(-122.22260063252287, 47.741450549999996)"
BEACHES SUMMERTIME CRUISIN,T30,T,"1919 SE COLUMBIA RIVER DR, VANCOUVER, WA, 98661-8028","(-122.65299217441441, 45.61542378031218)"
PORT TOWNSEND SENIOR ASSOCIATION,P81,P,"620 TYLER ST, PORT TOWNSEND, WA, 98368-6566","(-122.7598814, 48.1172634)"
FRIENDS OF THE MERCER ISLAND LIBRARY,B11,B,"4400 88TH AVE SE, MERCER ISLAND, WA, 98040-4148","(-122.2211912, 47.5667303)"
ST ANTHONY,P99,P,"2320 N CEDAR ST, SPOKANE, WA, 99205-4317","(-117.432301, 47.679185448979595)"
KINGDOM LIGHT COMMUNICATIONS,X20,X,"5005 S 368TH ST, AUBURN, WA, 98001-8818","(-122.27230914674621, 47.2715126)"
EASTSIDE HUMAN SERVICES FORUM,P20,P,"123 5TH AVE, KIRKLAND, WA, 98033-6121","(-122.2073148196275, 47.678177399999996)"
CUB SCOUT PACK 39,O41,O,"20310 82ND AVE SE, SNOHOMISH, WA, 98296-5102","(-122.12263183957737, 47.81307585768835)"
VIETNAMESE BUDDHIST COMMUNITY CO LAM TEMPLE,X50,X,"3503 S GRAHAM ST, SEATTLE, WA, 98118-3155","(-122.28778083736559, 47.54587625)"
COMMUNITY LUNCH ON CAPITOL HILL,K34,K,"1710 11TH AVE, SEATTLE, WA, 98122-2420","(-122.3179634, 47.6168532)"
RITZVILLE DOWNTOWN DEVELOPMENT,S31,S,"310 E 8TH AVE, RITZVILLE, WA, 99169-1624","(-118.37008577409368, 47.12436688381874)"
FURRY FACES FOUNDATION,D20,D,"3809 46TH AVE SW, SEATTLE, WA, 98116-3723","(-122.39106198854654, 47.56988105)"
DARIM ONLINE,B02,B,"1600 WARREN AVE N, SEATTLE, WA, 98109-3165","(-122.3540708187133, 47.633320850000004)"
RSE FOUNDATION INC,B84,B,"16312 SE 48TH DR, BELLEVUE, WA, 98006-4718","(-122.12333458140719, 47.5596610832232)"
UPPER VALLEY CHRISTIAN SCHOOL,B24,B,"111 SKI HILL DR, LEAVENWORTH, WA, 98826-5027","(-120.66891000626882, 47.59364913077317)"
SEATTLE CHILDRENS PLAYGARDEN,O52,O,"1745 24TH AVE S, SEATTLE, WA, 98144-4624","(-122.30142842211055, 47.587197050251255)"
GRIST MAGAZINE INC,C99,C,"1501 E MADISON ST, SEATTLE, WA, 98122-4499","(-122.31245968166239, 47.61437315)"
ACCE HEALTHCARE TECHNOLOGY FOUNDATION,E19,E,"8371 SE 57TH ST, MERCER ISLAND, WA, 98040-4906","(-122.22761292793207, 47.551622932840054)"
WORKER OWNER COUNCIL OF THE NORTHWEST,J40,J,"906 COLUMBIA STREET SW, OLYMPIA, WA, 98501-1240","(-122.90215334693877, 47.04044726530612)"
PACIFIC NORTHWEST BUDO ASSOCIATION,A23,A,"18201 76TH AVE W, EDMONDS, WA, 98026-5408","(-122.33632588738486, 47.8339511)"
AMERICAS SENIORS FIRST,P81,P,"10708 NE 90TH CT, VANCOUVER, WA, 98662-1455","(-122.58063437780146, 45.699422)"
