NAME,NTEE_CD,Category,Location,lat_lon
FAMILY PROMISE OF GREATER DES MOINES,P85,P,"4114 ALLISON AVE, DES MOINES, IA, 50310-3319","(-93.6736707197517, 41.611754250000004)"
RIVER OF LIFE CHURCH OF DES MOINES,X20,X,"2181 3RD AVE SW, ALTOONA, IA, 50009-7812","(-93.467963, 41.63090793877551)"
FRIENDS OF THE MILFORD LIBRARY FOUNDATION,B117,B,"1009 9TH ST, MILFORD, IA, 51351-1612","(-95.15024369387754, 43.323785)"
CALVARY CHAPEL CEDAR RAPIDS,X20,X,"2685 SILVER OAK TRL, MARION, IA, 52302-9223","(-91.58683052741401, 42.07169013423)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"320 N OSCEOLA ST, OSCEOLA, IA, 50213-1324","(-93.75646720408163, 41.03808351020408)"
CEDAR RAPIDS COUGARS BASEBALL ASSOCIATION,N70,N,"7811 BURR RIDGE CT NE, CEDAR RAPIDS, IA, 52402-6729","(-91.65407948979592, 42.055592714285716)"
CEDAR RAPIDS FAMILY CHURCH,X20,X,"5335 MIDWAY DR NW, CEDAR RAPIDS, IA, 52405-3349","(-91.7394792867363, 41.9749982)"
ELKADER COMMUNITY CHILD CARE AND LEARNING CENTER,P33,P,"117 GUNDER RD, ELKADER, IA, 52043-9020","(-91.3988768, 42.8649579)"
GOWRIE PUBLIC LIBRARY FOUNDATION,W99,W,"1204 MARKET ST, GOWRIE, IA, 50543-7502","(-94.2909332244898, 42.28053647959184)"
SIOUXLAND GOLF CHARITIES INC,N6A,N,"3125 LINCOLN WAY, SIOUX CITY, IA, 51106-3259","(-96.36821324377193, 42.456152638689176)"
WEST TARKIO WATERSHED AND LAKE ALLIANCE INC,C32,C,"619 W SHERIDAN AVE, SHENANDOAH, IA, 51601-1707","(-95.3728612857143, 40.76602663265306)"
LINN COMMUNITY FOOD BANK INC,K31,K,"310 5TH ST SE, CEDAR RAPIDS, IA, 52401-1601","(-91.66301090368655, 41.97882645)"
ALTOONA AREA HISTORICAL SOCIETY INC,A80,A,"104 2ND ST SE, ALTOONA, IA, 50009-1810","(-93.46438263265307, 41.65029116326531)"
KORVER-HUISMAN CHARITABLE FOUNDATION,T20,T,"704 JUNEAU AVE SE, ORANGE CITY, IA, 51041-1825","(-96.04783890474107, 43.00022519982502)"
QUALITY SURGICENTER CHARITABLE FOUNDATION,T22,T,"1301 19TH AVE NW, CLINTON, IA, 52732-2752","(-90.2047411, 41.8668004)"
ROOSEVELT ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,B94,B,"313 15TH ST SE, MASON CITY, IA, 50401-5927","(-93.1956344215062, 43.137181606052415)"
INTERNATIONAL MASS FATALITIES CENTER,M02,M,"3100 F AVE NW, CEDAR RAPIDS, IA, 52405-2947","(-91.71274519730942, 41.98009946636771)"
HIAWATHA PTO,B94,B,"603 EMMONS ST, HIAWATHA, IA, 52233-1723","(-91.679663, 42.038683)"
ORAB MUSIC BOOSTER CLUB,B11,B,"1700 E 4TH ST, SHELDON, IA, 51201-1745","(-95.83261642482775, 43.18466015563819)"
THE GLOBAL FARMER NETWORK FOUNDATION,K20,K,"309 COURT AVENUE, DES MOINES, IA, 50309-2245","(-93.62099183577845, 41.5854389)"
FRIENDS OF THE ANAMOSA PUBLIC LIBRARY,B11,B,"700 KAITLYNN AVE, ANAMOSA, IA, 52205-7204","(-91.25862773986053, 42.11285734072828)"
UNITED EDUCATION FOUNDATION,B82,B,"1284 U AVE, BOONE, IA, 50036-7589","(-93.776587, 42.008898)"
RIVER CITY MUNICIPAL BAND INC,A68,A,"4602 170TH ST, CLINTON, IA, 52732-9559","(-90.19873298738564, 41.931601178416805)"
CEDAR VALLEY WALLEYE CLUB,D33,D,"325 HARWOOD AVE, WATERLOO, IA, 50701-6116","(-92.3700221632653, 42.500201469387754)"
IOWA CHAPTER OF THE AMERICAN CONCRETE INSTITUTE,B60,B,"360 SE DELAWARE AVE, ANKENY, IA, 50021-9346","(-93.58123239215293, 41.72932293984352)"
PERRY POLICE AND FIREFIGHTER BENEVOLENCE FUND,Y99,Y,"1075 17TH ST, DES MOINES, IA, 50314-1224","(-93.6398816231398, 41.59746065)"
JEFF AND SUSIE SEITZ CHARITABLE FOUNDATION,T22,T,"3825 SHEFFIELD CT, BETTENDORF, IA, 52722-2221","(-90.46669723166787, 41.561109446868244)"
K9SENSUS FOUNDATION,D20,D,"54254 150TH AVE, LUCAS, IA, 50151-8463","(-93.461037, 41.112277)"
DAVENPORT BREAKFAST LIONS CHARITIES INC,S12,S,"2809 STAFFORD BLVD, BETTENDORF, IA, 52722-3343","(-90.49214211762124, 41.5514033206273)"
NEW BEGINNINGS CHRISTIAN CENTER,X20,X,"903 S 22ND ST, FORT DODGE, IA, 50501-6122","(-94.16781842783323, 42.49558208126795)"
FRAGRANCE OF COMPASSION INTERNATIONAL,Q30,Q,"1570 AUSTIN ST, DUBUQUE, IA, 52001-5528","(-90.70124795688301, 42.49818150698144)"
CHILDRENS IMAGINATION STATION,P33,P,"1826 3RD AVE S, DENISON, IA, 51442-2133","(-95.346208, 42.013475346938776)"
CENTRAL BANCSHARES CHARITABLE FOUNDATION,T21,T,"301 IOWA AVENUE, MUSCATINE, IA, 52761-3844","(-91.046507, 41.422244)"
WEST BANCORPORATION FOUNDATION INC,T21,T,"1601 22ND STREET, WEST DES MOINES, IA, 50266-1408","(-93.73536622704215, 41.596468599999994)"
