NAME,NTEE_CD,Category,Location,lat_lon
WILLIAM AND JILL MORGAN MINISTRIES,X20,X,"815 BISHOP LN, FARMINGTON, NM, 87401-8056","(-108.14600844962193, 36.72387654595099)"
COUNCIL ON US-BARQAH RELATIONS INC,Q30,Q,"1832 CHRISTINE ST NE, ALBUQUERQUE, NM, 87112-3111","(-106.53007879591837, 35.10225934693877)"
MPTSO,B94,B,"12200 LOMAS BLVD NE, ALBUQUERQUE, NM, 87112-5804","(-106.51112373332873, 35.0847268)"
NEXT GENERATION WATER SUMMIT,C32,C,"783 PASEO DE LA CUMA, SANTA FE, NM, 87501-1216","(-105.93823206963363, 35.69854214008924)"
AROUND THE WORLD IN EIGHTY FABRICS,C19,C,"19 PICAFLOR PATH, SANTA FE, NM, 87506-0062","(-105.92112866748322, 35.822437)"
FUR-GET ME NOT CANINE RESCUE,D99,D,"8100 WAVERLY DR NW, ALBUQUERQUE, NM, 87120-3810","(-106.695323, 35.175069)"
PASSIONS STORY,B99,B,"2659 VISTA MANZANO LOOP NE, RIO RANCHO, NM, 87144-0602","(-106.68503761226575, 35.35723419999999)"
AFSA NEW MEXICO CHAPTER INC,S41,S,"2401 EDITH BLVD NE, ALBUQUERQUE, NM, 87102-1138","(-106.63645, 35.108876)"
ALBUQUERQUE ROCKET SOCIETY,N50,N,"4709 MI CORDELIA DR NW, ALBUQUERQUE, NM, 87120-1846","(-106.69844210122322, 35.137186067362016)"
VETERANSCREATE,W30,W,"205 SANGRE DE CRISTO, CEDAR CREST, NM, 87008-9524","(-106.3651216, 35.1191208)"
FRIENDS OF CANNON,W30,W,"2013 COLONIAL PKWY, CLOVIS, NM, 88101-3119","(-103.18045330612244, 34.440320346938776)"
JUST BE CAUSE INC,P20,P,"919 W ROSS AVE, BELEN, NM, 87002-3829","(-106.7778243265306, 34.66610073469388)"
AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,N60,N,"5504 ARROYO DR, FARMINGTON, NM, 87402-5002","(-108.12433461224491, 36.780060530612246)"
NMSHOF,A80,A,"800 LAMP POST CIR SE, ALBUQUERQUE, NM, 87123-4117","(-106.4986891234382, 35.05391891541947)"
LIVING GRACE MINISTRIES INC,X83,X,"8888 HARPER DR NE, ALBUQUERQUE, NM, 87111-1000","(-106.578619, 35.1525218)"
LIFTING UP CONNECTIONS INC,T50,T,"3305 GROGAN ST NW, ALBUQUERQUE, NM, 87120-1466","(-106.70752412499999, 35.120582625000004)"
ATOMIC SISTERS RUGBY FOOTBALL CLUB,N60,N,"3125 DURANES RD NW, ALBUQUERQUE, NM, 87104-2701","(-106.68449261117019, 35.107999619825236)"
EDUCATION LEARNING AND TECHNOLOGY FOUNDATION,B90,B,"4317 GOODRICH AVE NE, ALBUQUERQUE, NM, 87110-1089","(-106.59627565433131, 35.12848040377068)"
AMATEUR ATHLETIC UNION OF THE UNITED STATES,N60,N,"828 ROAD 4990, BLOOMFIELD, NM, 87413-9622","(-107.857603, 36.690119)"
UNITED VETERANS COUNCIL OF GREATER ALBUQUERQUE,W30,W,"9712 ARVILLA AVE NE, ALBUQUERQUE, NM, 87111-4741","(-106.53243116781549, 35.1201389617334)"
AHAVAT SHALOM,X30,X,"5308 CIRCITA DEL SUR, SANTA FE, NM, 87507-4923","(-106.02831440425531, 35.6406344680851)"
AZTEC PROJECT GRADUATION,B94,B,"1118 W AZTEC BLVD, AZTEC, NM, 87410-1818","(-108.0394506206681, 36.8238613837818)"
LOGAN LONG SHOTS TRAP AND SKEET TEAM,N50,N,"2152 CEMETERY RD, LOGAN, NM, 88426-0000","(-103.39816998288008, 35.37527217365338)"
LAKE CITY YOUTH CENTER,P30,P,"109 S 4TH ST, SANTA ROSA, NM, 88435-2320","(-104.68720129043902, 34.94166974667132)"
ISLAMIC CENTER OF SOCORRO NEW MEXICO INC,X40,X,"1208 EL CAMINO REAL ST, SOCORRO, NM, 87801-4732","(-106.89910815101484, 34.07415605)"
CATCH 52,A12,A,"527 ALTO ST, SANTA FE, NM, 87501-2516","(-105.94701269309351, 35.68805292692702)"
ELEMENTARY FOURTH-FIFTH EDUCATION & COLLABORATIVE TEACHING OF SCIENCE,B90,B,"12405 NEW DAWN RD NE, ALBUQUERQUE, NM, 87122-4303","(-106.50075446388244, 35.18023008604982)"
ALAMOGORDO FFA ALUMNI,O12,O,"2227 CASA BONITA, ALAMOGORDO, NM, 88310-7838","(-105.958127, 32.86192398495469)"
SENNEL INC,T99,T,"1615 CERRO GORDO RD, SANTA FE, NM, 87501-6176","(-105.90185290056954, 35.686306853840236)"
EL BETHEL CHURCH,X21,X,"622 S JEFFERSON ST, HOBBS, NM, 88240-6942","(-103.1237574897959, 32.69521453061225)"
SANTA FE REPTILE AND BUG MUSEUM INC,D50,D,"4661 WESTVIEW TER, SANTA FE, NM, 87507-3417","(-106.0525644, 35.6242625)"
HERITAGE EDUCATION FOUNDATION,B90,B,"208 AMBROSIO ST, SANTA FE, NM, 87501-2526","(-105.9533901178197, 35.6876567124656)"
LIGHTHOUSE FOSTER AND ADOPTION SUPPORT,P20,P,"1300 ALICIA LN, ROSWELL, NM, 88201-3319","(-104.539993, 33.419743)"
BEN INITIATIVE,A23,A,"3624 ZIA DR, GALLUP, NM, 87301-4540","(-108.6771417388021, 35.525643858913995)"
JOE M LEWIS COMMUNITY DEVELOPMENT CORPORATION,L80,L,"5915 BLUEWATER RD NW, ALBUQUERQUE, NM, 87105-1951","(-106.70596642857143, 35.087375571428566)"
KIDS EMPOWERED INC,I72,I,"12101 CORAL DAWN RD NE, ALBUQUERQUE, NM, 87122-1269","(-106.5043627198488, 35.17935311543151)"
HANKINS FOUNDATION,T20,T,"517 ACEQUIA MADRE, SANTA FE, NM, 87505-2810","(-105.932445, 35.680163)"
