NAME,NTEE_CD,Category,Location,lat_lon
NORTHERN PLAINS EVANGELISTIC ASSOC,X20,X,"730 QUINCY ST, RAPID CITY, SD, 57701-3632","(-103.23128615610423, 44.0787128)"
DAKOTA COUNSELING INSTITUTE INC,F30Z,F,"910 W HAVENS AVE, MITCHELL, SD, 57301-3831","(-98.0218785, 43.7021935)"
LEWIS & CLARK BEHAVIORAL HEALTH SERVICES INC,F320,F,"1028 WALNUT ST, YANKTON, SD, 57078-2910","(-97.3932208, 42.8806139)"
ABERDEEN SENIOR CENTER INC,P81Z,P,"1303 7TH AVE SE, ABERDEEN, SD, 57401-4935","(-98.46799657210434, 45.458603249999996)"
SENIOR CITIZENS INC,P81Z,P,"2900 CANYON LAKE DR, RAPID CITY, SD, 57702-8113","(-103.26820456740396, 44.07749575)"
SENIOR CITIZENS SERVICES OF VERMILLION INC,P81Z,P,"320 W MAIN ST, VERMILLION, SD, 57069-3018","(-96.9379124, 42.7790737)"
MCCROSSAN BOYS RANCH,F33Z,F,"47135 260TH ST, SIOUX FALLS, SD, 57107-6428","(-96.79049361096234, 43.616478161902265)"
INDIAN BOARD OF EDUCATION FOR THE PIERRE INDIAN SCHOOL,P620,P,"3001 E SULLY AVE, PIERRE, SD, 57501-4403","(-100.3087834469861, 44.35339995)"
CENTERVILLE DEVELOPMENT CORP,S20,S,"741 MAIN ST, CENTERVILLE, SD, 57014-2195","(-96.95897714285714, 43.11710673469388)"
CENTER FOR FAMILY MEDICINE,B54Z,B,"1115 E 20TH ST, SIOUX FALLS, SD, 57105-1013","(-96.71236027640558, 43.53489826695885)"
SESDAC INC,F330,F,"1314 E CHERRY ST, VERMILLION, SD, 57069-1606","(-96.9119122, 42.7870537)"
MURDO HOUSING & REDEVELOPMENT COMMISSION,L21,L,"714 E 5TH ST, MURDO, SD, 57559-2014","(-100.711096, 43.886643)"
KLEIN FOUNDATION INC,A50I,A,"1820 W GRAND XING, MOBRIDGE, SD, 57601-1114","(-100.451021, 45.544608)"
SOUTH DAKOTA HALL OF FAME,A500,A,"1480 S MAIN ST, CHAMBERLAIN, SD, 57325-1732","(-99.3417688, 43.7967273)"
HURON AREA CENTER FOR INDEPENDENCE,J300,J,"258 3RD ST SW, HURON, SD, 57350-2403","(-98.21839593877552, 44.363165183673466)"
COMMUNITY DAY CARE ASSOCIATION INC,P33Z,P,"602 E 5TH ST, MILLER, SD, 57362-1552","(-98.98062583663844, 44.52053786150565)"
MINNELUZAHAN SENIOR CITIZENS CENTER,P81Z,P,"315 N 4TH ST, RAPID CITY, SD, 57701-1167","(-103.2218212544849, 44.08673495)"
BROOKINGS ARTS COUNCIL,A26Z,A,"524 4TH ST, BROOKINGS, SD, 57006-2045","(-96.79640755102041, 44.308997653061226)"
MEDICINE ROCK SENIOR CITIZENS INC,P81,P,"107 W LOGAN AVE, GETTYSBURG, SD, 57442-1533","(-99.95590734693877, 45.01045530612245)"
SIOUX YMCA,P27,P,"224 6TH ST, DUPREE, SD, 57623-7758","(-101.59924710204082, 45.05087835714286)"
HURON CONCERT ASSOCIATION,A68,A,"818 BEACH AVE SE, HURON, SD, 57350-2941","(-98.2057814489796, 44.356978000000005)"
WESSINGTON SPRINGS AREA CHAMBER & DEVELOPMENT,S32Z,S,"230 MAIN ST E, WESSINGTON SPRINGS, SD, 57382-0000","(-98.56897826530611, 44.079472387755104)"
SPEARFISH EMERGENCY AMBULANCE SERVICE,E62Z,E,"715 E COLORADO BLVD, SPEARFISH, SD, 57783-2702","(-103.84837232472489, 44.48198175)"
IMMANUEL LUTHERAN CHURCH,X21,X,"920 FILLMORE ST, WHITEWOOD, SD, 57793-2105","(-103.63675391322082, 44.466464689900306)"
WOONSOCKET DEVELOPMENT CORPORATION C/O GAY SWENSON,S41,S,"23020 397TH AVE, WOONSOCKET, SD, 57385-6917","(-98.271452, 43.952571)"
JONES COUNTY SENIORS FOR SERVICE,S80Z,S,"115 N MAIN STREET, MURDO, SD, 57559-0000","(-100.71324, 43.888665)"
SIOUX FALLS CHRISTIAN SCHOOLS ASSOCIATION,B11,B,"6120 S CHARGER CIR, SIOUX FALLS, SD, 57108-2551","(-96.702599, 43.48914057142857)"
TRINITY LUTHERAN CHURCH ENDOWMENT FOUNDATION INC,X112,X,"402 KANSAS CITY ST, RAPID CITY, SD, 57701-2710","(-103.22406935137823, 44.078468942571675)"
RURAL SCHOOL HISTORICAL SOCIETY INC,A54,A,"804 E 3RD ST, CANTON, SD, 57013-1907","(-96.58325385714286, 43.30276853061225)"
WHITE CARE CENTER INC,E91Z,E,"509 20TH AVE, BROOKINGS, SD, 57006-2340","(-96.77214663341184, 44.31012414353007)"
BROOKINGS AREA GENEALOGICAL SOCIETY,W99,W,"515 3RD ST, BROOKINGS, SD, 57006-2022","(-96.7965437142857, 44.307990714285715)"
HORIZON HEALTH CARE INC,E320,E,"109 N MAIN ST, HOWARD, SD, 57349-0000","(-97.52697845454546, 44.01133318181818)"
BLACK HILLS WORKS INC,J300,J,"3650 RANGE RD, RAPID CITY, SD, 57702-0627","(-103.28027706825019, 44.07640265)"
SOUTH DAKOTA POULTRY INDUSTRIES ASSOCIATION,K28Z,K,"202 TRAIL RIDGE RD, BROOKINGS, SD, 57006-3627","(-96.80723571446637, 44.287644314339914)"
GLACIAL LAKES HUMANE SOCIETY AND SHELTER,D200,D,"1305 6TH AVE NW, WATERTOWN, SD, 57201-1052","(-97.13634635734206, 44.9081723422046)"
BASEBALL PARENTS INC,W30Z,W,"2721 CANYON LAKE DR, RAPID CITY, SD, 57702-1509","(-103.26572988821965, 44.076920911956165)"
CHRISTIAN CENTER DAY CARE INC,B21,B,"6300 W 41ST ST, SIOUX FALLS, SD, 57106-1281","(-96.80359215303478, 43.514897404709785)"
NORTHERN HILLS TRAINING,J30Z,J,"625 HARVARD ST, SPEARFISH, SD, 57783-1897","(-103.87270225108644, 44.4891892)"
SIOUXLAND CHRISTIAN BROADCASTING,A32Z,A,"812 E 41ST ST, SIOUX FALLS, SD, 57105-6028","(-96.71675848162792, 43.514920575757095)"
WAKONDA HERITAGE MANOR,P750,P,"515 OHIO ST, WAKONDA, SD, 57073-2013","(-97.1032656817926, 43.00531336125525)"
ABILITY BUILDING SERVICES INC,P820,P,"909 W 23RD ST, YANKTON, SD, 57078-1510","(-97.40755779908126, 42.894234094387905)"
AFFORDABLE HOUSING SOLUTIONS INC,L210,L,"630 S MINNESOTA AVE, SIOUX FALLS, SD, 57104-4897","(-96.73115226415094, 43.540916811320756)"
CUSTER AMBULANCE SERVICE INC,E62Z,E,"1105 MONTGOMERY ST, CUSTER, SD, 57730-1305","(-103.59266332234532, 43.77234409788998)"
SOUTH DAKOTA FOUNDATION FOR THE BLIND AND VISUALLY IMPAIRED,G41,G,"605 14TH AVE SE, ABERDEEN, SD, 57401-7201","(-98.47855470675572, 45.45151695)"
ADVANCE,P8XZ,P,"301 DIVISION AVE, BROOKINGS, SD, 57006-2952","(-96.80366103061225, 44.305418744897956)"
LIFEQUEST,P820,P,"804 N MENTZER ST, MITCHELL, SD, 57301-2130","(-98.01398344295302, 43.71702643624161)"
BROOKINGS SENIOR CITIZEN CENTER,P81,P,"320 5TH AVE, BROOKINGS, SD, 57006-2006","(-96.79677534693877, 44.308226000000005)"
