NAME,NTEE_CD,Category,Location,lat_lon
MEDIATORS FOUNDATION INC,Q41Z,Q,"2525 ARAPAHOE AVE UNIT E4 # 509, BOULDER, CO, 80302-6746","(-105.270545, 40.0149856)"
SAMSARA MEMORIAL FOUNDATION FOR THE ADVANCEMENT OF FELINE WELFARE,A99Z,A,"PO BOX 19291, BOULDER, CO, 80308-2291","(-105.270545, 40.0149856)"
ICLEI LOCAL GOVERNMENTS FOR SUSTAINABILITY USA INC,C010,C,"1536 WYNKOOP ST STE 901, DENVER, CO, 80202-1379","(-104.984862, 39.7392364)"
F L A M E INC,Q21Z,Q,"5000 BOARDWALK DR UNIT 36, FORT COLLINS, CO, 80525-6217","(-105.0668085, 40.5508527)"
THE I AM FOUNDATION,B99,B,"6525 GUNPARK DR STE 370 # 345, BOULDER, CO, 80301-3333","(-105.270545, 40.0149856)"
THALIA HOUSE INC,E86,E,"5 REDHAWK RUN, ENGLEWOOD, CO, 80113-4139","(-104.95303655584644, 39.65091975)"
VINEYARD COMMUNITY CHURCH OF ARVADA,X21,X,"5855 WADSWORTH BYP STE B, ARVADA, CO, 80003-5419","(-105.0811573, 39.8005505)"
ANDREA MCWHORTER MINISTRIES,X99,X,"30581 COUNTY ROAD 385, ILIFF, CO, 80736-9533","(-103.0665894, 40.759156)"
SARGENT CHILDCARE ASSOCIATION,P33,P,"7072 N COUNTY ROAD 2 E, MONTE VISTA, CO, 81144-9756","(-106.1496731, 37.5816182)"
ST PAUL MISSIONARY BAPTIST CHURCH OF AURORA COLORADO,X20,X,"5172 S HANNIBAL WAY, AURORA, CO, 80015-4265","(-104.808667, 39.62625)"
J FREUNARD KIM FOUNDATION,T22,T,"10653 LIETER PL, LONE TREE, CO, 80124-9785","(-91.4258091, 41.4881375)"
MESSIANIC JEWISH BIBLE SOCIETY INC,X30,X,"PO BOX 8900, PUEBLO, CO, 81008-8900","(-104.609141, 38.2544472)"
CASA OF PUEBLO,I80,I,"130 W ABRIENDO AVE, PUEBLO, CO, 81004-4224","(-104.62177639795918, 38.26037303061224)"
UNITED STATES WOMENS NATIONAL SOCCER TEAM PLAYERS ASSOCIATION,J40,J,"4770 BASELINE ROAD, BOULDER, CO, 80303-2666","(-105.23436356406359, 39.9997326)"
SCUM OF THE EARTH CHURCH,X20,X,"935 W 11TH AVE, DENVER, CO, 80204-3530","(-104.9996267, 39.7338833)"
GRACE,X20,X,"20663 E 43RD AVE, DENVER, CO, 80249-6906","(-104.74886449734147, 39.77489658379465)"
ABUNDANT GRACE CHRISTIAN FELLOWSHIP,X21,X,"4794 FRASER WAY, DENVER, CO, 80239-5923","(-104.81136692772117, 39.77933375)"
FRONT RANGE ASSOCIATION OF HEALTH UNDERWRITERS,E038,E,"PO BOX 6367, LONGMONT, CO, 80501-2078","(-105.1019287, 40.1672117)"
LEADVILLE ARTS COALTION,A61,A,"PO BOX 1278, LEADVILLE, CO, 80461-1278","(-106.2925238, 39.2508229)"
GAP MINISTRIES INC,X20,X,"44058 W US HIGHWAY 50, CANON CITY, CO, 81212-9743","(-105.222494, 38.4423644)"
MEDICAL CENTER OF THE ROCKIES,E22,E,"2315 E HARMONY RD STE 200, FORT COLLINS, CO, 80528-8620","(-105.0668085, 40.5508527)"
BOULDER ATHEISTS,A70,A,"PO BOX 21365, BOULDER, CO, 80308-4365","(-105.270545, 40.0149856)"
CENTER FOR SNOW AND AVALANCHE STUDIES,C053,C,"PO BOX 190, SILVERTON, CO, 81433-0190","(-101.3046544, 34.4713299)"
ROCK THE EARTH,C30,C,"7402 E JARVIS PL, DENVER, CO, 80237-1300","(-104.90254678590789, 39.65048118234524)"
COOPER CREEK SQUARE MERCHANTS ASSOCIATION,S41,S,"747 SHERIDAN BLVD UNIT 7D, LAKEWOOD, CO, 80214-2554","(-105.0846694, 39.7085736)"
LIGHTHOUSE BAPTIST CHURCH,X21,X,"PO BOX 461476, AURORA, CO, 80046-1476","(-88.3147539, 41.7571701)"
WHEAT RIDGE FOUNDATION,N11,N,"4005 KIPLING ST, WHEAT RIDGE, CO, 80033-4125","(-105.10975595908322, 39.772449602405494)"
JOSHUA INC,B28,B,"2303 E DARTMOUTH AVE, ENGLEWOOD, CO, 80113-3079","(-104.96132716326531, 39.66045151020408)"
IDEKER FAMILY FOUNDATION,T22,T,"9977 ELKHORN ST, LITTLETON, CO, 80127-5143","(-105.016649, 39.613321)"
THIRD DAY VICTORY CHURCH,X21,X,"2700 S LEMAY AVE, FORT COLLINS, CO, 80525-2264","(-105.05598893104982, 40.5512577)"
PINK LIGHTNING FOUNDATION,G20,G,"4220 MORNING STAR DR, CASTLE ROCK, CO, 80108-9092","(-104.8586826, 39.3722552)"
CHRIST FOR LIFE MINISTRY INC,O55,O,"2851 RIVERSIDE PLAZA, STEAMBOAT SPRINGS, CO, 80487-5084","(-106.86709048488518, 40.503326380063505)"
COLORADO WYOMING WRITING CENTERS ASSOCIATION,B03,B,"229 SWEET VALLEY CT, LONGMONT, CO, 80501-8649","(-105.05974628282829, 40.15797009090909)"
NEW HOPE CATTLE DOGS RESCUE & REHOMING,D20,D,"PO BOX 460064, AURORA, CO, 80046-0064","(-88.3147539, 41.7571701)"
THE DENVER INDEPENDENT CHOREOGRAPHERS PROJECT,A63,A,"1213 S HOLLAND CT, LAKEWOOD, CO, 80232-5133","(-105.10363515721306, 39.69507282758632)"
SEEDWORKS FUND,T00Z,T,"CO HAGEDORN 2990 E 17TH AVE 906, DENVER, CO, 80206-0000","(-104.984862, 39.7392364)"
MURRAY L GOLDBERG FOUNDATION,T20Z,T,"4880 LEE CIR, BOULDER, CO, 80303-1112","(-105.233791, 40.01080181632653)"
SPREADING THE GOOD NEWS SALVATION FOUNDATION,T21,T,"12600 W COLFAX AVENUE B-430, LAKEWOOD, CO, 80215-3770","(-105.0846694, 39.7085736)"
WESTERN FOLK FOUNDATION,N52,N,"PO BOX 67, WOODLAND PARK, CO, 80866-0067","(-105.057045, 38.9938016)"
NATIONAL HEARING CONSERVATION ASSOCIATION SCHOLARSHIP FOUNDATION,B82,B,"2851 S PARKER RD STE 1210, AURORA, CO, 80014-2733","(-88.3147539, 41.7571701)"
NEW COMMANDMENT MENS MINISTRIES,X20,X,"8680 W 81ST DR, ARVADA, CO, 80005-2406","(-105.09427129957713, 39.8448085830939)"
PLUMB IRRIGATION COMPANY,Y22,Y,"28806 COUNTY ROAD 51, GREELEY, CO, 80631-9749","(-104.7091322, 40.4233142)"
CULEBRA RANGE COMMUNITY COALITION INC,C34,C,"612 S CHESTNUT ST, TRINIDAD, CO, 81082-3335","(-104.50096265362949, 37.165628448982176)"
PREMA GROUP INC,X21,X,"411 TIMBERLINE DR, DURANGO, CO, 81301-6987","(-107.8324139, 37.2996599)"
SIMPKINS MINISTRIES INC,X21,X,"3155 NORTH CHAMBERS ROAD, AURORA, CO, 80011-1320","(-88.3147539, 41.7571701)"
USAFA OPERATION WARM HEART,P60,P,"4102 PINON DR SUITE 4030, USAF ACADEMY, CO, 80840-2502","(-104.30153449109022, 38.77406895)"
MONGOLIAN GANDAN TEMPLE INC,X50,X,"1700 BROADWAY, DENVER, CO, 80290-1700","(-104.9870892, 39.7434178)"
INTERNATIONAL EDUCATION CORPS,B90,B,"3333 E FLORIDA AVE APT 92, DENVER, CO, 80210-2523","(-104.984862, 39.7392364)"
OURAY MOUNTAIN INSTITUTE INC,X20,X,"PO BOX 215, OURAY, CO, 81427-0215","(-107.7414887, 38.146044)"
GARDNER HERITGAE FOUNDATION,S47,S,"PO BOX 226, GARDNER, CO, 81040-0226","(-71.9831716, 42.5823564)"
NEW VISION CHARTER SCHOOL,B29,B,"299 PERIDOT ST, LOVELAND, CO, 80537-5197","(-105.04436132094955, 40.385549)"
CHARTER FUND INC,T21,T,"10901 W 120TH AVE STE 450, BROOMFIELD, CO, 80021-3434","(-105.05208, 39.9403995)"
CAIRN TERRIER CLUB OF DENVER,D99,D,"96 TWILIGHT TRAILS CIR, DURANGO, CO, 81301-7813","(-107.8558168, 37.3489821)"
HEAVENLY FIRE MINISTRIES,P60,P,"68752 HIGHWAY 64, MEEKER, CO, 81641-9330","(-96.9028014, 35.5034006)"
CLUMBER SPANIEL CLUB OF AMERICA INC,D60,D,"10562 W 106TH CT, BROOMFIELD, CO, 80021-3602","(-105.05208, 39.9403995)"
PLANT IT-2020 INCORPORATED,C500,C,"9547 S UNIVERSITY BLVD STE 310, HIGHLANDS RANCH, CO, 80126-0000","(-104.9695655, 39.5497243)"
SISTERS IN SERVICE,P30,P,"PO BOX 39063, DENVER, CO, 80239-0063","(-104.984862, 39.7392364)"
EAST DENVER BIBLE BAPTIST CHURCH,X21,X,"5557 S FORESTHILL ST, LITTLETON, CO, 80120-1341","(-105.00179328571429, 39.615896285714285)"
HIGH COUNTRY CONSERVATORY OF DANCE,A62,A,"6113 NORMANDY CT, FORT COLLINS, CO, 80525-5896","(-105.06253970643088, 40.50200188512816)"
NO BARRIERS USA,Q22,Q,"605 S COLLEGE AVE 101, FORT COLLINS, CO, 80524-3003","(-105.0668085, 40.5508527)"
FORT COLLINS SYNCHRONIZED SWIM TEAM,N67,N,"2007 UNION DR, FORT COLLINS, CO, 80526-1714","(-105.1049276638908, 40.560571499999995)"
AMERICAN HIPPOTHERAPY ASSOCIATION INC,B60,B,"2850 MCCLELLAND DRIVE, FORT COLLINS, CO, 80525-2586","(-105.07936589995174, 40.54736675)"
COVCS INC,B20,B,"165 S UNION BLVD STE 777, LAKEWOOD, CO, 80228-2211","(-105.0846694, 39.7085736)"
