NAME,NTEE_CD,Category,Location,lat_lon
MOSABBIR CANCER CARE CENTER - A PROJECT UNDER MOSABBIR MEMORIAL FO,E86,E,"3204 TWELVE OAKS BLVD, CLARKSVILLE, TN, 37042-8162","(-87.37672063818927, 36.63467370809022)"
BETHESDA DEVELOPMENT CORPORATION,S31,S,"3530 ORCHI RD, MEMPHIS, TN, 38108-2057","(-89.94212777036388, 35.18088474182005)"
COVENANT POWER MINISTRIES INC,X21,X,"1003 MILLER AVE, CROSSVILLE, TN, 38555-4359","(-85.0369470484112, 35.9454723878067)"
INFRAGARD NATIONAL MEMBERS ALLIANCE INC,Q43,Q,"1001 E CHURCHWELL AVE, KNOXVILLE, TN, 37917-4422","(-83.927472, 35.994332)"
MIDDLE SCHOOL HAWKS PTO,B94,B,"2265 CARDINAL LN, CLARKSVILLE, TN, 37043-1329","(-87.26109986202685, 36.55962691982097)"
BANGLADESH ASSOCIATION OF NASHVILLE TENNESSEE,A23,A,"2119 WILLOWMET DR, BRENTWOOD, TN, 37027-1812","(-86.7121461, 35.9937097)"
PROMISED LAND FOUNDATION INC,I40,I,"3760 BATES PIKE SE, CLEVELAND, TN, 37323-8002","(-84.82480537791187, 35.138816572662286)"
COOKEVILLE CHRISTIAN BROADCASTING,X84,X,"4130 BRADFORD HICKS DR, LIVINGSTON, TN, 38570-2213","(-85.33061894379381, 36.393817759015796)"
MID-SOUTH IEC EDUCATIONAL ASSOCIATION,B28,B,"2814 CENTER DRIVE, BARTLETT, TN, 38134-0000","(-89.85957843494438, 35.2023887112301)"
TRANSFORMATION PROJECT INC,I20,I,"6101 PRESERVATION DRIVE, CHATTANOOGA, TN, 37416-3737","(-85.188861, 35.076053)"
CHURCH OF THE COVE,X21,X,"642 WEARS VALLEY RD, TOWNSEND, TN, 37882-3401","(-83.7337253, 35.679209)"
FOREVER FRIENDS ANIMAL SANCTUARY,D20,D,"2900 BUCHANAN RD, BUCHANAN, TN, 38222-3454","(-88.202743, 36.386876)"
MOCKINGBIRD COMMUNITY RETIREMENT CENTER,L22,L,"3800 SAM BONEY DRIVE, NASHVILLE, TN, 37211-3756","(-86.728076, 36.089825)"
MUSICO A MUSICO,A99,A,"529 GENERAL GEORGE PATTON RD, NASHVILLE, TN, 37221-2451","(-86.9465268, 36.0662978)"
HOLY TRINITY CHURCH OF GOD IN CHRIST,X20,X,"5115 TULANE RD, MEMPHIS, TN, 38109-7331","(-90.04315051665628, 35.0096034688678)"
KINGS WORD MISSION INTERNATIONAL,X20,X,"209 ALSUP DR, SPRINGFIELD, TN, 37172-3448","(-86.90202778200613, 36.50654489047937)"
COFFEE COUNTY CHILDRENS ADVOCACY CENTER,P30,P,"104 N SPRING ST, MANCHESTER, TN, 37355-1563","(-86.08822075789381, 35.482986926324514)"
12SOUTH NEIGHBORHOOD ASSOCIATION,A80,A,"926 BENTON AVE, NASHVILLE, TN, 37204-2002","(-86.785066, 36.132149)"
VINEYARD CHRISTIAN COMMUNITY,X21,X,"713 WILLIAM BLOUNT DR, MARYVILLE, TN, 37801-8614","(-84.02958712503796, 35.72677033213602)"
SACRED HEART APOSTOLATE INC,X21,X,"813 S NORTHSHORE DR, KNOXVILLE, TN, 37919-7889","(-83.99864205628063, 35.92549086255367)"
MILLINGTON LIBRARY BOOSTERS,B117,B,"4858 NAVY RD, MILLINGTON, TN, 38053-2031","(-89.9014276161394, 35.341434961543854)"
TEAM BLESSED MINISTRIES INC,X20,X,"1603 MAGNOLIA DR, MURFREESBORO, TN, 37128-5906","(-86.40589129367511, 35.81454623525899)"
THIS CLOSE FOR CANCER RESEARCH,H30,H,"1537 MASSEY POINTE LN, MEMPHIS, TN, 38120-1318","(-89.84686123315475, 35.10754675)"
ROBBINS FAMILY FOUNDATION INC,T22,T,"3010 BRIGHTWOOD AVE, NASHVILLE, TN, 37212-6021","(-86.79937447535606, 36.119179242662476)"
HAITI180 INC,X90,X,"1160 INNESWOOD DR, GALLATIN, TN, 37066-4409","(-86.48525976232499, 36.34725819881403)"
FAMILIES FREE INC,P40,P,"693 PRINCETON RD, JOHNSON CITY, TN, 37601-3701","(-82.36261645809036, 36.36185654577388)"
CHINESE ARTS ALLIANCE OF NASHVILLE,A20,A,"2510 BARTON AVE, NASHVILLE, TN, 37212-4115","(-86.80844, 36.133739)"
GRANDVIEW SENIOR HOUSING INC,L22,L,"221 S MAPLE ST, HOHENWALD, TN, 38462-1815","(-87.55102301648367, 35.54495828802246)"
TOPS CLUB INC,E70,E,"2334 BURDETTE RD, GRANDVIEW, TN, 37337-5608","(-84.8449922, 35.7442837)"
FRIENDS OF FORT DEFIANCE,A80,A,"313 CLEARVIEW DR, CLARKSVILLE, TN, 37043-4610","(-87.29983033937911, 36.5239759595016)"
OLE 97 ALUMNI ASSOCIATION,B84,B,"5863 PLUM VALLEY DR, MEMPHIS, TN, 38141-6826","(-89.86773273192047, 35.0315506086372)"
CHRISTIAN DISCOVERY MUSEUM,X99,X,"63 N OCOEE ST, CLEVELAND, TN, 37311-5065","(-84.8750847, 35.1604959)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"254 CAMDEN XING, CLARKSVILLE, TN, 37040-5056","(-87.26878031705435, 36.57463042549252)"
TENNESSEE FALLEN FIREFIGHTERS MEMORIAL,A84,A,"3686 RICHBRIAR CT, NASHVILLE, TN, 37211-4918","(-86.711984, 36.08057230640897)"
BOONEY CRAWFORD MINISTRIES,X20,X,"709 FERNDALE RD, JOHNSON CITY, TN, 37604-2414","(-82.38775191183089, 36.34249718481609)"
APPALACHIAN CULTURAL MUSIC ASSOCIATION INC,B60,B,"316 BROAD ST, KINGSPORT, TN, 37660-4206","(-82.55925428282829, 36.5483964949495)"
BEAR HUGS FROM MOM,P20,P,"135 QUAPAW CIR, LOUDON, TN, 37774-3150","(-84.25519445330772, 35.72884082277566)"
CATCH MINISTRY INC,X20,X,"268 COTTONWOOD BND NW, CLEVELAND, TN, 37312-1742","(-84.88906106496874, 35.221982086191915)"
REAL GOOD DOG RESCUE,D20,D,"1753 CARRUTHERS PL, MEMPHIS, TN, 38112-5301","(-90.00188786857508, 35.146019313875136)"
